combo_number,n_estimators,contamination,max_samples,max_features,precision,recall,f1
346,150,0.07,512,1.0,0.9014778325123153,0.7507692307692307,0.8192501398992725
1195,1000,0.1,384,0.8,0.863481228668942,0.7784615384615384,0.8187702265372169
946,500,0.07,512,1.0,0.8982843137254902,0.7517948717948718,0.818537130094919
237,100,0.1,512,0.8,0.8641552511415526,0.7764102564102564,0.8179362506753106
1066,750,0.07,512,1.0,0.8951219512195122,0.7528205128205128,0.8178272980501393
108,50,0.07,768,1.0,0.8921212121212121,0.7548717948717949,0.8177777777777778
586,250,0.07,512,1.0,0.8991389913899139,0.7497435897435898,0.8176733780760627
359,150,0.1,768,0.8,0.8673587081891581,0.7712820512820513,0.8165038002171553
1065,750,0.07,512,0.8,0.8968058968058968,0.7487179487179487,0.8160983789826719
696,300,0.05,768,1.0,0.9281045751633987,0.7282051282051282,0.8160919540229885
106,50,0.07,512,1.0,0.8976572133168927,0.7466666666666667,0.8152295632698768
576,250,0.05,768,1.0,0.9232769830949284,0.7282051282051282,0.8142201834862385
456,200,0.05,768,1.0,0.924380704041721,0.7271794871794872,0.8140068886337543
945,500,0.07,512,0.8,0.895320197044335,0.7456410256410256,0.8136541689983212
238,100,0.1,512,1.0,0.8604118993135011,0.7712820512820513,0.8134126554894537
587,250,0.07,768,0.8,0.8932515337423312,0.7466666666666667,0.8134078212290503
1074,750,0.1,256,1.0,0.8662790697674418,0.764102564102564,0.8119891008174387
825,400,0.07,512,0.8,0.8939580764488286,0.7435897435897436,0.8118701007838746
236,100,0.1,384,1.0,0.8679906542056075,0.762051282051282,0.8115783724740578
834,400,0.1,256,1.0,0.8661233993015134,0.7630769230769231,0.8113413304252999
705,300,0.07,512,0.8,0.8897058823529411,0.7446153846153846,0.8107202680067002
1194,1000,0.1,256,1.0,0.8641114982578397,0.7630769230769231,0.8104575163398693
1056,750,0.05,768,1.0,0.928476821192053,0.718974358974359,0.8104046242774566
1176,1000,0.05,768,1.0,0.9296148738379814,0.717948717948718,0.8101851851851852
336,150,0.05,768,1.0,0.923784494086728,0.721025641025641,0.8099078341013825
1185,1000,0.07,512,0.8,0.8966376089663761,0.7384615384615385,0.8098987626546682
714,300,0.1,256,1.0,0.8666666666666667,0.76,0.8098360655737705
594,250,0.1,256,1.0,0.8666666666666667,0.76,0.8098360655737705
585,250,0.07,512,0.8,0.8914919852034525,0.7415384615384616,0.8096304591265397
936,500,0.05,768,1.0,0.9282868525896414,0.7169230769230769,0.8090277777777778
953,500,0.1,256,0.8,0.8609501738122828,0.762051282051282,0.808487486398259
464,200,0.07,384,1.0,0.8973717146433041,0.7353846153846154,0.8083427282976324
954,500,0.1,256,1.0,0.8653395784543325,0.757948717948718,0.8080918534718425
